Rk,Team,Tournament_Seed_From_Pasted_Table,Conf,W-L,Wins,Losses,NetRtg,ORtg,ORtg_Rk,DRtg,DRtg_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_NetRtg,SOS_NetRtg_Rk,SOS_ORtg,SOS_ORtg_Rk,SOS_DRtg,SOS_DRtg_Rk,NCSOS_NetRtg,NCSOS_NetRtg_Rk
1,Duke,1.0,ACC,32-2,32,2,38.9,128.0,4,89.0,2,65.4,287,0.049,62,14.3,15,117.0,23,102.7,11,10.1,18
2,Arizona,1.0,B12,32-2,32,2,37.66,127.7,5,90.0,3,69.8,54,0.023,127,14.99,9,117.6,15,102.7,8,3.27,101
3,Michigan,1.0,B10,31-3,31,3,37.59,126.6,8,89.0,1,71.0,22,0.045,67,16.66,4,119.2,4,102.5,5,12.51,11
4,Florida,1.0,SEC,26-7,26,7,33.79,125.5,9,91.7,6,70.6,28,-0.036,289,16.02,5,119.4,3,103.4,26,7.93,30
5,Houston,2.0,B12,28-6,28,6,33.44,124.9,14,91.4,5,63.3,352,-0.006,204,13.6,24,116.9,25,103.3,23,0.9,155
6,Iowa St.,2.0,B12,27-7,27,7,32.43,123.8,21,91.4,4,66.6,225,-0.012,219,12.46,31,115.6,48,103.1,20,-3.56,280
7,Illinois,3.0,B10,24-8,24,8,32.1,131.2,2,99.1,28,65.6,276,-0.05,305,13.65,23,117.1,22,103.4,27,3.77,91
8,Purdue,2.0,B10,27-8,27,8,31.2,131.6,1,100.4,36,64.4,325,-0.006,199,15.89,7,118.4,9,102.5,4,6.31,49
9,Michigan St.,3.0,B10,25-7,25,7,28.3,123.0,24,94.7,13,66.1,253,0.005,178,13.69,21,118.1,11,104.4,54,3.64,94
10,Gonzaga,3.0,WCC,30-3,30,3,28.11,122.0,29,93.9,9,68.6,111,0.072,28,5.91,87,113.0,81,107.1,99,8.33,27
11,Connecticut,2.0,BE,29-5,29,5,27.85,122.0,30,94.1,11,64.5,323,0.055,55,12.01,36,115.3,53,103.3,24,7.62,39
12,Vanderbilt,5.0,SEC,26-8,26,8,27.51,126.8,7,99.3,30,68.9,98,0.018,133,14.57,13,118.0,13,103.4,28,1.19,148
13,Virginia,3.0,ACC,29-5,29,5,26.71,122.5,27,95.8,16,65.8,270,0.056,52,9.95,70,115.4,49,105.5,73,-3.26,273
14,Nebraska,4.0,B10,26-6,26,6,26.16,118.5,55,92.4,7,66.8,218,0.034,97,11.61,42,116.4,32,104.8,62,-5.99,319
15,Arkansas,4.0,SEC,26-8,26,8,26.06,127.7,6,101.6,48,71.0,20,0.051,60,14.97,10,118.9,7,103.9,38,4.42,81
16,Tennessee,6.0,SEC,22-11,22,11,26.03,121.1,35,95.0,15,65.0,307,-0.06,321,14.78,11,119.1,5,104.3,50,0.76,161
17,St. John's,5.0,BE,28-6,28,6,25.89,120.1,45,94.2,12,69.6,68,0.061,44,11.52,44,115.1,59,103.6,31,6.61,44
18,Alabama,4.0,SEC,23-9,23,9,25.71,129.0,3,103.3,67,73.1,4,0.019,130,16.75,2,119.4,2,102.7,9,13.39,9
19,Louisville,6.0,ACC,23-10,23,10,25.42,124.1,19,98.6,25,69.7,62,-0.02,239,12.56,30,115.9,40,103.3,25,2.41,115
20,Texas Tech,5.0,B12,22-10,22,10,25.24,125.1,12,99.8,33,66.2,245,0.006,175,15.66,8,118.3,10,102.6,7,7.8,33
21,Kansas,4.0,B12,23-10,23,10,24.44,118.3,57,93.9,10,67.7,164,0.053,56,16.96,1,118.0,12,101.0,1,10.99,15
22,Wisconsin,5.0,B10,24-10,24,10,23.39,125.3,11,102.0,51,68.8,104,0.041,80,13.94,18,117.2,20,103.3,22,-1.08,219
23,BYU,6.0,B12,23-11,23,11,23.25,125.5,10,102.2,57,70.0,46,-0.017,232,14.29,16,116.3,33,102.0,3,4.89,74
24,Saint Mary's,7.0,WCC,27-5,27,5,23.07,120.3,43,97.2,19,65.2,298,0.011,155,5.0,93,111.5,96,106.5,92,3.89,90
25,Iowa,9.0,B10,21-12,21,12,22.44,121.7,31,99.3,31,63.0,357,-0.061,328,11.38,47,115.6,47,104.2,49,-7.18,336
26,Ohio St.,8.0,B10,21-12,21,12,22.24,124.3,17,102.1,54,66.1,252,-0.031,272,13.68,22,116.6,28,103.0,15,-1.82,236
27,UCLA,7.0,B10,23-11,23,11,21.67,123.7,22,102.1,53,64.7,318,0.017,136,12.23,33,116.1,35,103.9,37,-2.15,248
28,Kentucky,7.0,SEC,21-13,21,13,21.48,120.5,38,99.0,27,68.4,124,-0.019,235,15.94,6,119.0,6,103.1,18,1.34,140
29,North Carolina,6.0,ACC,24-8,24,8,20.84,121.4,32,100.6,37,68.0,143,0.057,49,11.46,45,115.4,50,103.9,40,1.32,141
30,Utah St.,9.0,MWC,28-6,28,6,20.77,122.2,28,101.4,45,67.7,158,0.065,39,7.15,80,112.8,83,105.6,76,1.98,126
31,Miami FL,7.0,ACC,25-8,25,8,20.68,121.4,33,100.7,38,67.6,168,0.021,129,8.01,77,113.7,76,105.7,77,-7.29,337
32,Georgia,8.0,SEC,22-10,22,10,20.48,124.7,16,104.2,80,71.4,16,-0.005,197,10.79,61,116.0,39,105.2,70,-6.43,327
33,Villanova,8.0,BE,24-8,24,8,19.94,120.4,40,100.4,35,65.2,295,0.067,35,10.36,67,114.7,65,104.4,55,2.86,109
34,N.C. State,11.0,ACC,20-13,20,13,19.62,124.1,20,104.4,86,69.1,87,-0.029,261,11.99,37,116.0,37,104.0,43,4.2,83
35,Santa Clara,10.0,WCC,26-8,26,8,19.4,123.6,23,104.2,82,69.2,82,0.015,142,6.03,85,111.8,94,105.8,81,3.91,89
36,Clemson,8.0,ACC,24-10,24,10,19.23,116.5,71,97.3,20,64.3,333,0.011,156,10.54,64,115.2,54,104.7,60,0.65,169
37,Texas,11.0,SEC,18-14,18,14,19.03,125.0,13,105.9,111,66.9,205,-0.083,345,13.72,20,117.4,18,103.7,33,-6.35,321
38,Auburn,,SEC,17-16,17,16,19.02,124.8,15,105.8,108,67.2,191,-0.053,314,16.67,3,119.4,1,102.8,12,8.41,25
39,Texas A&M,10.0,SEC,21-11,21,11,18.67,119.7,49,101.0,41,70.5,29,-0.002,193,11.16,52,117.0,24,105.8,82,-5.86,317
40,Oklahoma,,SEC,19-15,19,15,18.37,124.2,18,105.8,110,66.3,243,-0.07,335,13.31,25,117.3,19,104.0,41,-5.5,311
41,Saint Louis,9.0,A10,28-5,28,5,18.22,119.4,51,101.2,43,71.0,21,0.03,109,0.94,133,108.8,174,107.9,123,-5.81,316
42,SMU,11.0,ACC,20-13,20,13,18.09,122.9,26,104.8,91,68.6,115,-0.043,297,11.16,51,115.7,43,104.6,58,1.26,142
43,TCU,9.0,B12,22-11,22,11,17.59,115.4,81,97.8,22,67.7,159,0.004,179,11.06,53,115.2,55,104.1,46,-6.94,333
44,Cincinnati,,B12,18-15,18,15,17.49,111.2,132,93.7,8,67.5,175,-0.073,338,11.03,55,114.8,64,103.8,36,-3.24,271
45,Indiana,,B10,18-14,18,14,17.18,120.3,41,103.2,65,66.1,251,-0.041,295,11.81,40,116.1,36,104.3,51,-4.96,301
46,VCU,11.0,A10,27-7,27,7,17.09,119.8,46,102.7,63,68.5,116,-0.007,208,3.37,102,110.3,111,107.0,96,-1.28,222
47,San Diego St.,,MWC,22-11,22,11,16.4,113.3,103,96.9,18,68.8,103,0.015,145,8.6,75,114.3,67,105.7,78,5.37,63
48,South Florida,11.0,Amer,25-8,25,8,16.38,117.3,61,101.0,40,71.5,15,-0.026,252,3.05,104,111.2,98,108.2,131,4.95,73
49,Baylor,,B12,16-16,16,16,16.01,123.0,25,106.9,127,67.8,151,-0.086,346,13.94,19,115.8,42,101.8,2,1.16,149
50,New Mexico,,MWC,23-10,23,10,15.83,117.1,64,101.3,44,69.8,56,-0.035,284,5.71,88,111.8,93,106.1,87,0.57,170
51,Seton Hall,,BE,21-12,21,12,15.7,110.5,147,94.8,14,65.1,303,-0.033,278,8.98,73,113.9,75,104.9,65,-4.21,290
52,Missouri,10.0,SEC,20-12,20,12,15.4,119.5,50,104.1,78,66.2,246,0.041,81,11.53,43,116.6,29,105.0,68,-7.73,343
53,Washington,,B10,16-17,16,17,15.12,117.2,62,102.1,55,67.1,194,-0.101,360,11.98,38,116.8,26,104.8,64,-0.73,204
54,UCF,10.0,B12,21-11,21,11,15.04,120.5,39,105.4,101,69.3,78,0.097,17,11.93,39,115.0,61,103.1,17,-2.54,258
55,Virginia Tech,,ACC,19-13,19,13,13.66,117.2,63,103.6,70,67.1,197,-0.01,211,9.96,69,115.1,58,105.1,69,-0.96,214
56,Florida St.,,ACC,18-15,18,15,13.48,118.4,56,104.9,93,70.5,31,-0.006,202,11.21,50,114.9,62,103.7,34,-3.26,272
57,Northwestern,,B10,15-19,15,19,13.41,117.5,60,104.1,77,65.1,304,-0.079,343,13.24,27,117.2,21,104.0,42,-1.64,230
58,Stanford,,ACC,20-12,20,12,13.37,117.1,66,103.7,71,66.8,216,0.03,108,8.78,74,113.5,77,104.8,63,-0.43,195
59,West Virginia,,B12,18-14,18,14,13.27,110.0,154,96.7,17,62.3,364,-0.033,276,9.32,72,114.2,68,104.9,66,-8.27,349
60,LSU,,SEC,15-17,15,17,13.24,119.8,47,106.6,121,66.6,224,-0.092,353,10.96,58,115.7,44,104.8,61,-4.62,297
61,Grand Canyon,,MWC,20-12,20,12,13.2,111.0,134,97.8,23,68.0,141,-0.068,332,3.81,100,111.7,95,107.8,121,-5.76,314
62,Boise St.,,MWC,20-12,20,12,13.19,117.1,65,103.9,75,65.7,273,0.028,114,8.47,76,114.1,69,105.6,75,7.73,34
63,Tulsa,,Amer,26-7,26,7,12.98,121.2,34,108.2,149,67.9,145,0.021,128,0.61,141,109.1,160,108.5,142,-2.37,255
64,Akron,12.0,MAC,29-5,29,5,12.77,118.8,54,106.1,114,70.3,32,0.018,132,-3.67,238,108.4,195,112.1,285,-3.15,268
65,Mississippi,,SEC,15-20,15,20,12.63,114.1,92,101.4,46,66.4,236,-0.07,333,14.24,17,118.6,8,104.4,56,-2.5,257
66,Oklahoma St.,,B12,19-14,19,14,12.6,120.1,44,107.5,139,72.1,9,0.052,59,12.21,34,115.2,56,102.9,14,-0.9,210
67,Arizona St.,,B12,17-16,17,16,12.53,115.8,78,103.2,66,69.3,77,0.062,43,14.51,14,117.7,14,103.2,21,5.82,55
68,McNeese,12.0,Slnd,28-5,28,5,12.48,114.3,91,101.8,49,66.2,248,0.084,21,-1.84,201,107.5,250,109.4,170,9.12,22
69,Belmont,,MVC,26-6,26,6,12.28,120.7,37,108.4,152,68.9,93,0.035,95,-0.11,157,108.2,216,108.3,135,-4.61,296
70,Colorado,,B12,17-15,17,15,12.12,118.9,53,106.8,125,68.7,106,0.024,126,10.85,59,115.3,51,104.5,57,0.09,186
71,Northern Iowa,12.0,MVC,23-12,23,12,11.82,110.0,153,98.2,24,62.3,363,-0.07,334,1.29,127,109.5,142,108.2,132,-0.86,207
72,Providence,,BE,15-18,15,18,11.79,121.1,36,109.3,176,71.3,17,-0.09,350,10.98,56,114.0,70,103.1,16,-0.6,199
73,California,,ACC,21-11,21,11,11.43,114.1,93,102.6,59,68.0,137,0.044,69,7.12,81,113.4,78,106.3,88,-6.41,326
74,Wake Forest,,ACC,17-16,17,16,11.39,117.0,68,105.6,104,68.1,134,-0.022,243,11.28,48,115.8,41,104.6,59,0.67,166
75,Nevada,,MWC,22-12,22,12,11.32,115.7,79,104.4,85,66.1,250,0.012,154,6.02,86,112.1,89,106.0,86,2.85,110
76,Creighton,,BE,15-17,15,17,11.0,116.2,74,105.2,97,67.6,170,-0.029,262,11.72,41,114.6,66,102.9,13,3.36,99
77,Minnesota,,B10,15-17,15,17,10.91,114.6,87,103.7,72,62.5,362,-0.061,327,10.49,66,116.0,38,105.5,72,-8.63,351
78,Georgetown,,BE,16-18,16,18,10.87,114.6,89,103.7,73,66.2,247,-0.049,304,10.53,65,114.0,73,103.4,29,-4.19,289
79,Dayton,,A10,23-11,23,11,10.82,110.5,146,99.7,32,66.9,206,0.043,73,4.76,96,112.0,90,107.2,102,1.25,145
80,USC,,B10,18-14,18,14,10.81,113.5,102,102.7,62,70.6,27,0.068,33,12.24,32,116.4,30,104.2,48,-0.83,206
81,Yale,,Ivy,24-7,24,7,10.18,120.3,42,110.1,194,64.5,322,0.024,123,-1.08,181,108.8,173,109.9,189,1.25,144
82,Syracuse,,ACC,15-17,15,17,9.73,114.6,86,104.9,92,67.4,179,-0.046,301,10.34,68,113.9,74,103.6,32,-2.19,250
83,Wichita St.,,Amer,23-11,23,11,9.71,112.1,116,102.4,58,66.5,228,-0.028,257,1.41,122,110.3,113,108.9,154,-2.21,252
84,Marquette,,BE,12-20,12,20,9.64,111.8,119,102.2,56,68.9,97,-0.111,363,10.97,57,115.3,52,104.3,53,1.84,131
85,Hofstra,13.0,CAA,24-10,24,10,9.52,114.6,88,105.1,95,64.7,317,-0.052,308,-0.87,173,108.0,225,108.9,155,3.08,104
86,George Washington,,A10,18-15,18,15,9.51,117.5,59,108.0,144,69.2,83,-0.141,365,1.47,118,109.3,153,107.8,118,-2.8,261
87,Colorado St.,,MWC,21-12,21,12,9.5,119.0,52,109.5,185,63.0,360,0.04,85,4.91,94,112.1,88,107.2,101,-2.19,251
88,Butler,,BE,16-16,16,16,9.48,116.1,75,106.6,123,68.7,107,-0.031,270,9.94,71,114.0,72,104.1,44,-3.01,265
89,Notre Dame,,ACC,13-18,13,18,8.88,115.5,80,106.6,124,66.0,261,-0.059,320,10.74,62,114.8,63,104.1,45,1.43,137
90,Utah Valley,,WAC,25-8,25,8,8.84,112.8,107,104.0,76,68.7,108,0.033,102,-0.32,162,107.0,267,107.4,107,2.55,113
91,Stephen F. Austin,,Slnd,28-5,28,5,8.44,112.6,110,104.2,81,65.8,269,0.029,110,-3.62,234,106.0,287,109.6,175,-3.76,284
92,High Point,12.0,BSth,30-4,30,4,8.4,117.0,67,108.6,161,69.9,49,0.048,63,-9.23,341,103.7,330,112.9,319,-8.89,356
93,Miami OH,11.0,MAC,31-1,31,1,8.24,116.8,70,108.5,157,70.0,44,0.099,15,-5.37,269,107.2,262,112.6,304,-9.9,361
94,Pittsburgh,,ACC,13-20,13,20,7.59,113.7,98,106.1,115,63.6,344,-0.067,330,10.85,60,115.0,60,104.2,47,0.42,174
95,South Carolina,,SEC,13-19,13,19,7.54,112.5,111,105.0,94,66.4,233,-0.062,329,11.05,54,116.7,27,105.7,79,-8.77,353
96,Wyoming,,MWC,18-15,18,15,7.49,114.6,85,107.1,134,66.4,232,-0.037,290,4.41,98,111.9,92,107.5,111,-5.3,306
97,Xavier,,BE,15-18,15,18,7.46,116.9,69,109.4,182,70.3,33,0.016,141,11.41,46,114.0,71,102.6,6,1.1,151
98,Oregon,,B10,12-20,12,20,7.03,111.6,127,104.6,87,65.9,262,-0.036,287,12.64,29,116.4,31,103.8,35,1.56,135
99,Mississippi St.,,SEC,13-19,13,19,7.0,112.7,109,105.7,105,69.6,63,-0.001,191,13.25,26,117.6,16,104.3,52,0.5,171
100,Kansas St.,,B12,12-20,12,20,6.98,113.3,104,106.3,116,72.7,6,-0.074,340,13.01,28,116.1,34,103.1,19,-0.19,192
101,DePaul,,BE,16-16,16,16,6.82,107.2,209,100.3,34,66.2,244,-0.014,225,7.97,78,113.4,79,105.4,71,-9.93,362
102,George Mason,,A10,23-10,23,10,6.75,112.8,108,106.0,113,63.5,346,0.042,77,0.27,147,109.8,126,109.6,173,-7.91,346
103,Illinois St.,,MVC,20-12,20,12,6.67,110.5,145,103.9,74,66.7,221,-0.009,210,1.35,123,109.9,123,108.6,146,-2.82,262
104,UC Irvine,,BW,23-11,23,11,6.24,105.0,255,98.7,26,68.2,132,-0.016,228,-0.66,167,108.4,196,109.1,166,0.66,167
105,UNC Wilmington,,CAA,27-6,27,6,6.21,111.6,128,105.4,100,65.2,297,0.038,90,-4.44,256,106.9,272,111.4,243,-8.28,350
106,Illinois Chicago,,MVC,19-15,19,15,6.16,110.4,149,104.3,83,66.4,234,-0.061,325,1.61,116,110.1,117,108.5,144,-2.36,254
107,Cal Baptist,13.0,WAC,25-8,25,8,6.01,107.9,191,101.9,50,65.8,265,0.091,19,-1.93,203,107.1,265,109.0,160,-3.29,275
108,Hawaii,13.0,BW,24-8,24,8,5.99,107.1,210,101.2,42,69.7,61,0.038,91,-3.34,228,106.6,278,109.9,190,-11.19,364
109,UNLV,,MWC,17-16,17,16,5.98,115.1,83,109.1,172,69.8,57,0.003,181,6.46,83,112.4,84,106.0,84,1.19,147
110,St. Thomas,,Sum,24-9,24,9,5.89,114.0,95,108.1,146,68.3,126,-0.034,280,-5.63,275,107.3,260,112.9,320,-0.93,212
111,Sam Houston St.,,CUSA,22-11,22,11,5.76,113.6,101,107.8,142,70.1,42,-0.007,209,0.01,152,109.8,130,109.7,181,6.08,53
112,Pacific,,WCC,18-15,18,15,5.43,110.7,142,105.3,99,64.3,331,-0.02,238,2.93,106,110.5,106,107.6,113,0.01,187
113,North Dakota St.,14.0,Sum,27-7,27,7,5.17,111.8,122,106.6,122,66.3,238,0.04,87,-5.78,281,106.5,281,112.3,291,-0.91,211
114,Davidson,,A10,20-13,20,13,4.84,109.5,161,104.7,89,63.6,343,0.033,103,1.96,112,109.6,140,107.6,116,-0.09,188
115,Liberty,,CUSA,26-7,26,7,4.72,118.1,58,113.4,261,64.1,339,0.146,2,-1.17,184,107.9,235,109.1,163,0.7,163
116,UT Rio Grande Valley,,Slnd,19-14,19,14,4.58,111.0,137,106.4,117,66.4,231,-0.056,318,-1.21,185,107.9,238,109.1,164,8.36,26
117,Southern Illinois,,MVC,16-16,16,16,4.57,103.8,274,99.2,29,68.9,95,-0.094,355,1.83,114,109.9,125,108.1,130,-0.14,191
118,UC San Diego,,BW,23-11,23,11,4.55,107.9,193,103.3,68,67.2,190,0.01,160,-0.99,176,107.9,240,108.9,153,0.33,176
119,Seattle,,WCC,20-13,20,13,4.51,102.2,298,97.7,21,67.6,166,0.017,137,1.64,115,110.6,103,109.0,159,-3.47,279
120,Saint Joseph's,,A10,22-11,22,11,4.42,107.2,206,102.8,64,68.1,135,0.088,20,1.29,128,109.1,156,107.8,122,-5.02,302
121,Maryland,,B10,12-21,12,21,4.25,111.1,133,106.9,126,66.2,249,0.016,139,14.69,12,117.4,17,102.7,10,1.57,134
122,San Francisco,,WCC,17-16,17,16,4.21,113.6,100,109.4,180,66.0,260,-0.006,201,4.1,99,110.8,101,106.8,95,0.3,178
123,Murray St.,,MVC,20-12,20,12,4.13,116.3,73,112.2,240,71.6,14,0.043,76,1.18,129,109.7,134,108.5,143,-3.81,285
124,Bradley,,MVC,21-12,21,12,3.99,111.7,124,107.7,141,67.3,182,0.039,88,0.73,138,109.0,167,108.2,134,-5.35,307
125,Rutgers,,B10,14-19,14,19,3.94,110.5,148,106.5,120,66.9,210,0.043,75,11.23,49,115.1,57,103.9,39,-7.35,340
