Rk,Team,Tournament_Seed_From_Pasted_Table,Conf,W-L,Wins,Losses,NetRtg,ORtg,ORtg_Rk,DRtg,DRtg_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_NetRtg,SOS_NetRtg_Rk,SOS_ORtg,SOS_ORtg_Rk,SOS_DRtg,SOS_DRtg_Rk,NCSOS_NetRtg,NCSOS_NetRtg_Rk
247,Coastal Carolina,,SB,19-13,19,13,-6.85,101.8,305,108.6,159,66.9,211,0.132,4,-4.95,265,106.8,275,111.8,266,-2.15,249
248,Old Dominion,,SB,12-21,12,21,-7.01,106.0,228,113.0,253,69.0,91,-0.073,339,-3.06,224,108.2,211,111.3,239,4.57,78
249,Idaho St.,,BSky,13-20,13,20,-7.06,109.5,163,116.6,314,65.5,281,-0.035,283,-0.64,166,109.0,165,109.6,176,3.4,97
250,Colgate,,PL,18-15,18,15,-7.08,107.7,196,114.8,290,66.9,209,0.044,71,-6.99,299,106.1,285,113.1,327,5.15,68
251,Southern Utah,,WAC,10-22,10,22,-7.12,106.6,219,113.7,268,70.3,34,-0.053,312,2.14,110,108.6,190,106.5,90,5.74,57
252,Princeton,,Ivy,9-20,9,20,-7.26,105.4,245,112.7,251,63.5,345,-0.077,341,-1.05,180,108.9,171,109.9,193,-0.63,200
253,Wofford,,SC,19-13,19,13,-7.37,109.1,170,116.5,313,67.8,152,0.073,26,-7.64,313,107.9,234,115.5,365,-4.43,294
254,East Carolina,,Amer,11-20,11,20,-7.43,103.7,276,111.1,214,68.6,110,-0.006,198,-0.52,163,109.5,143,110.0,194,-2.98,264
255,Saint Peter's,,MAAC,17-12,17,12,-7.55,103.0,287,110.5,203,65.5,280,0.066,38,-8.06,321,103.9,322,112.0,277,-1.07,218
256,SIUE,,OVC,19-13,19,13,-7.58,99.5,330,107.1,131,64.4,329,-0.007,206,-10.78,354,102.3,357,113.1,328,-7.8,345
257,Radford,,BSth,16-16,16,16,-7.66,106.3,223,114.0,273,70.6,26,-0.036,286,-7.14,305,105.8,293,112.9,321,-6.38,322
258,UC Riverside,,BW,10-22,10,22,-7.68,104.0,271,111.6,227,68.5,120,-0.048,303,1.57,117,109.4,148,107.8,120,6.48,45
259,Iona,,MAAC,18-14,18,14,-7.76,103.9,273,111.7,228,68.8,102,0.041,79,-8.72,332,103.8,326,112.6,303,-3.15,267
260,Purdue Fort Wayne,,Horz,17-15,17,15,-7.84,105.3,247,113.2,259,67.7,162,0.118,6,-1.78,200,110.4,107,112.2,289,7.69,37
261,Nebraska Omaha,,Sum,16-17,16,17,-7.98,106.1,225,114.1,277,67.0,198,0.033,99,-2.77,221,108.6,189,111.4,242,3.15,103
262,Boston University,,PL,17-17,17,17,-8.06,111.7,123,119.8,347,63.1,355,-0.022,246,-8.58,328,104.2,314,112.8,310,-4.95,300
263,Pepperdine,,WCC,9-23,9,23,-8.14,105.2,251,113.4,262,68.6,112,-0.018,233,2.95,105,110.2,115,107.2,103,-2.23,253
264,Fairfield,,MAAC,21-13,21,13,-8.14,105.8,234,113.9,272,67.0,202,0.078,24,-9.67,349,102.8,353,112.4,300,-8.73,352
265,Sacramento St.,,BSky,10-21,10,21,-8.28,105.9,231,114.2,278,71.6,11,-0.022,245,1.46,119,110.5,104,109.1,165,8.92,24
266,Incarnate Word,,Slnd,12-19,12,19,-8.48,108.8,178,117.3,324,65.5,283,-0.028,258,-1.49,190,107.4,255,108.9,156,6.68,43
267,Lindenwood,,OVC,18-15,18,15,-8.49,100.5,319,109.0,165,72.4,8,0.017,135,-8.84,336,103.1,347,111.9,271,2.0,125
268,Milwaukee,,Horz,12-20,12,20,-8.85,106.5,221,115.4,299,67.4,180,0.013,149,-1.64,196,110.4,110,112.0,281,6.37,48
269,Central Michigan,,MAC,10-21,10,21,-9.05,105.9,230,115.0,293,67.1,193,-0.098,358,-1.6,194,108.3,205,109.9,188,1.44,136
270,Presbyterian,,BSth,15-18,15,18,-9.07,103.2,283,112.2,243,64.2,338,-0.02,240,-4.92,264,107.0,268,112.0,275,-2.02,241
271,Hampton,,CAA,13-19,13,19,-9.13,102.5,294,111.6,225,65.3,290,-0.013,223,-3.72,241,106.3,284,110.0,195,-7.47,341
272,Longwood,,BSth,16-16,16,16,-9.13,103.4,279,112.6,249,68.5,122,-0.036,285,-8.39,327,104.5,310,112.8,316,-10.63,363
273,Western Michigan,,MAC,10-21,10,21,-9.24,107.8,194,117.0,317,67.7,160,-0.036,288,-1.3,187,108.4,197,109.7,177,-2.06,245
274,UTEP,,CUSA,11-20,11,20,-9.39,100.9,313,110.3,201,65.5,282,0.01,157,-0.18,158,108.7,182,108.9,157,3.46,95
275,Dartmouth,,Ivy,11-16,11,16,-9.48,104.7,257,114.2,280,69.5,69,0.0,188,-2.38,214,108.4,199,110.7,219,-4.56,295
276,North Dakota,,Sum,18-17,18,17,-9.49,106.8,216,116.3,311,67.2,189,0.111,10,-3.61,233,107.9,232,111.5,253,-0.43,196
277,Mount St. Mary's,,MAAC,15-17,15,17,-9.63,99.4,332,109.0,168,67.5,173,0.028,116,-7.26,306,104.2,312,111.5,252,0.85,158
278,Bellarmine,,ASun,13-19,13,19,-9.65,116.5,72,126.1,365,64.7,320,-0.013,222,-4.75,261,108.5,194,113.2,331,2.39,117
279,Southern,,SWAC,17-17,17,17,-9.73,104.7,259,114.4,283,69.9,47,0.06,45,-6.34,291,105.1,301,111.4,246,15.22,3
280,Northwestern St.,,Slnd,10-22,10,22,-10.2,102.3,297,112.5,246,64.8,315,-0.013,220,-0.93,175,107.6,248,108.5,145,7.72,35
281,South Dakota,,Sum,16-16,16,16,-10.24,104.3,264,114.6,287,69.9,52,0.056,53,-5.68,278,106.9,271,112.6,305,-3.67,281
282,Loyola Chicago,,A10,9-24,9,24,-10.26,103.3,281,113.6,266,65.6,277,0.057,48,2.72,107,110.3,112,107.6,115,-4.63,298
283,Morehead St.,,OVC,20-13,20,13,-10.34,106.9,215,117.2,321,65.4,289,0.16,1,-7.0,300,104.0,318,111.0,229,6.24,51
284,Lehigh,16.0,PL,18-16,18,16,-10.41,102.7,290,113.1,257,66.9,204,0.081,23,-8.65,331,104.9,306,113.5,342,-0.56,198
285,Southeastern Louisiana,,Slnd,9-22,9,22,-10.56,99.7,325,110.3,199,65.5,285,-0.006,200,-0.87,172,107.9,236,108.8,150,5.41,62
286,Northeastern,,CAA,7-24,7,24,-10.58,107.5,199,118.1,330,69.6,67,-0.061,324,-1.75,199,108.1,221,109.8,184,-0.93,213
287,Prairie View A&M,16.0,SWAC,18-17,18,17,-10.68,101.2,309,111.9,231,71.0,23,0.013,147,-9.56,348,103.4,339,113.0,322,8.99,23
288,Mercyhurst,,NEC,17-17,17,17,-10.7,101.2,310,111.9,233,64.8,313,-0.013,224,-10.84,355,102.6,355,113.4,338,0.15,184
289,East Texas A&M,,Slnd,11-21,11,21,-10.82,100.7,317,111.5,222,68.2,131,0.001,186,-0.81,170,108.0,228,108.8,151,6.69,42
290,North Carolina A&T,,CAA,11-19,11,19,-10.9,105.2,249,116.1,309,68.5,118,-0.023,247,-3.66,237,107.4,254,111.1,233,-8.87,355
291,Brown,,Ivy,9-18,9,18,-10.97,97.9,342,108.9,162,66.5,229,-0.05,306,-4.07,252,107.7,246,111.8,268,-8.83,354
292,Delaware,,CUSA,10-21,10,21,-11.1,104.5,262,115.6,302,63.2,354,0.006,174,-2.59,217,107.5,252,110.1,197,-6.92,332
293,Houston Christian,,Slnd,12-20,12,20,-11.13,102.9,288,114.0,274,64.4,326,0.034,96,-2.44,215,107.4,256,109.8,183,-0.97,215
294,Ball St.,,MAC,12-19,12,19,-11.32,98.6,339,109.9,191,63.7,342,-0.005,196,-4.05,250,107.9,229,112.0,280,-6.39,323
295,Jacksonville,,ASun,12-20,12,20,-11.48,103.0,285,114.5,286,63.4,350,-0.03,266,-4.06,251,108.9,170,113.0,323,5.15,69
296,Sacred Heart,,MAAC,14-19,14,19,-11.6,107.2,208,118.8,337,68.5,123,0.001,185,-7.57,310,104.0,317,111.6,256,-2.1,246
297,Eastern Kentucky,,ASun,11-21,11,21,-11.65,109.1,172,120.8,350,67.3,181,-0.017,230,-4.05,249,108.8,177,112.8,313,3.04,105
298,Grambling St.,,SWAC,14-19,14,19,-11.75,96.8,346,108.6,158,67.6,169,-0.053,311,-9.18,339,103.2,343,112.4,299,2.17,119
299,Le Moyne,,NEC,15-17,15,17,-11.84,102.0,301,113.8,270,69.5,70,-0.018,234,-10.64,353,102.6,354,113.2,333,-1.73,235
300,UNC Greensboro,,SC,15-19,15,19,-12.21,107.6,198,119.8,348,67.7,163,0.056,54,-6.13,288,108.0,227,114.1,354,-0.88,208
301,Chattanooga,,SC,13-19,13,19,-12.26,105.4,246,117.6,328,67.2,188,-0.029,264,-7.05,301,107.7,247,114.7,359,-2.59,259
302,USC Upstate,,BSth,13-19,13,19,-12.38,99.0,337,111.4,220,67.5,174,0.025,120,-5.52,273,106.0,286,111.5,255,-1.34,224
303,Stetson,,ASun,12-21,12,21,-12.54,105.2,252,117.8,329,66.7,222,0.008,168,-3.85,245,108.6,193,112.4,297,4.75,75
304,West Georgia,,ASun,15-17,15,17,-12.55,101.6,307,114.1,275,69.2,81,0.072,27,-6.65,295,108.6,188,115.3,364,0.28,179
305,Alabama A&M,,SWAC,18-15,18,15,-12.71,104.0,270,116.7,315,65.3,292,0.058,46,-10.85,356,102.0,360,112.9,318,-2.04,242
306,Wagner,,NEC,14-17,14,17,-12.73,102.5,295,115.2,296,65.5,286,-0.001,189,-9.04,338,103.2,345,112.3,290,6.31,50
307,Central Connecticut,,NEC,18-12,18,12,-12.75,104.7,260,117.4,327,65.1,305,0.116,7,-11.14,358,102.1,358,113.3,334,-2.01,240
308,Evansville,,MVC,7-25,7,25,-12.83,101.9,302,114.7,289,67.0,200,-0.011,213,4.54,97,110.8,102,106.3,89,3.71,93
309,Oral Roberts,,Sum,10-23,10,23,-12.86,102.0,300,114.9,292,67.8,156,-0.055,315,-1.68,198,109.6,136,111.3,240,5.62,60
310,Georgia St.,,SB,10-22,10,22,-12.92,99.3,335,112.3,244,67.8,148,-0.04,293,-3.96,246,107.1,266,111.0,231,-0.29,194
311,Little Rock,,OVC,12-20,12,20,-12.94,102.8,289,115.7,303,66.7,223,-0.033,275,-6.43,293,103.4,338,109.9,186,4.64,77
312,Florida A&M,,SWAC,15-16,15,16,-12.99,97.9,341,110.9,212,68.3,127,0.071,29,-8.84,335,103.8,327,112.7,307,7.97,29
313,Louisiana,,SB,11-22,11,22,-13.25,100.1,321,113.4,260,63.2,353,0.033,104,-4.48,257,106.4,282,110.9,224,-1.87,237
314,Arkansas Pine Bluff,,SWAC,13-19,13,19,-13.3,104.0,269,117.3,326,68.9,94,0.025,118,-5.54,274,105.8,292,111.4,241,14.45,4
315,Tennessee Tech,,OVC,13-18,13,18,-13.32,102.5,293,115.8,305,66.8,212,-0.028,256,-7.58,311,103.4,336,111.0,230,3.02,106
316,Texas Southern,,SWAC,12-18,12,18,-13.32,101.7,306,115.0,294,68.8,101,-0.033,277,-8.59,330,103.9,321,112.5,301,12.47,12
317,IU Indy,,Horz,7-25,7,25,-13.9,105.4,244,119.3,342,73.2,3,-0.033,279,-3.45,230,109.0,168,112.4,298,-1.04,217
318,Alabama St.,,SWAC,10-22,10,22,-14.41,99.2,336,113.6,267,69.5,71,-0.071,336,-6.79,296,104.1,316,110.9,226,8.19,28
319,Northern Arizona,,BSky,10-22,10,22,-14.46,105.1,254,119.6,345,63.8,341,0.031,106,-1.05,178,109.4,145,110.5,209,0.17,183
320,Cleveland St.,,Horz,11-22,11,22,-14.62,109.4,166,124.0,362,69.8,58,0.04,84,-1.94,204,109.8,128,111.7,264,4.36,82
321,UMass Lowell,,AE,15-18,15,18,-14.73,102.5,292,117.3,323,69.2,84,0.017,138,-9.24,342,103.6,333,112.8,315,2.07,123
322,Eastern Illinois,,OVC,13-20,13,20,-14.85,96.9,345,111.7,229,65.7,274,0.037,94,-6.1,287,104.6,309,110.7,216,12.55,10
323,Loyola MD,,PL,12-20,12,20,-14.87,104.2,266,119.1,341,68.2,130,-0.027,255,-9.29,344,103.9,325,113.1,330,-6.85,331
324,Albany,,AE,11-21,11,21,-15.05,103.2,282,118.2,332,65.2,296,-0.086,347,-7.45,307,104.7,308,112.1,286,4.15,85
325,Lafayette,,PL,11-21,11,21,-15.23,100.7,316,115.9,306,66.8,215,0.009,165,-7.62,312,105.2,300,112.8,312,-0.7,202
326,Cal St. Bakersfield,,BW,8-24,8,24,-15.26,101.9,303,117.2,320,70.1,40,0.012,150,0.46,146,107.9,233,107.4,110,0.67,165
327,Norfolk St.,,MEAC,15-17,15,17,-15.31,101.4,308,116.7,316,68.2,128,-0.019,236,-11.81,360,101.3,362,113.1,326,0.49,172
328,New Haven,,NEC,14-17,14,17,-16.12,96.1,350,112.2,242,63.3,351,0.041,78,-9.48,346,102.9,352,112.3,293,2.87,108
329,Holy Cross,,PL,11-22,11,22,-16.47,100.8,314,117.3,325,65.6,278,-0.007,205,-7.08,302,105.9,289,113.0,324,-0.1,190
330,Manhattan,,MAAC,12-20,12,20,-16.5,104.4,263,120.9,351,67.9,146,0.053,57,-8.21,323,103.3,342,111.5,248,-2.88,263
331,Bucknell,,PL,10-23,10,23,-16.67,98.1,340,114.8,291,66.9,207,0.015,143,-6.0,285,106.8,276,112.8,311,2.05,124
332,NJIT,,AE,16-17,16,17,-16.95,96.5,348,113.4,263,67.8,150,0.115,9,-9.32,345,103.3,341,112.6,306,1.0,154
333,Northern Illinois,,MAC,9-21,9,21,-17.24,97.0,344,114.3,281,67.5,177,0.014,146,-1.05,179,109.1,159,110.1,199,2.28,118
334,Stonehill,,NEC,12-21,12,21,-17.36,91.7,362,109.0,169,66.4,235,-0.007,207,-10.38,352,102.9,349,113.3,336,-3.41,277
335,North Florida,,ASun,7-25,7,25,-17.47,107.0,213,124.4,363,70.5,30,-0.029,265,-3.39,229,108.0,222,111.4,245,7.92,31
336,Fairleigh Dickinson,,NEC,11-21,11,21,-17.66,100.8,315,118.5,334,63.9,340,-0.006,203,-8.58,329,103.3,340,111.9,273,5.25,66
337,Army,,PL,11-21,11,21,-18.46,100.1,322,118.5,335,67.1,195,0.044,68,-7.84,315,105.6,295,113.4,339,-2.01,239
338,Niagara,,MAAC,8-22,8,22,-18.51,99.6,327,118.1,331,62.1,365,-0.038,291,-8.24,326,103.8,329,112.0,283,-3.91,286
339,Southern Indiana,,OVC,7-23,7,23,-18.6,95.5,354,114.1,276,67.5,172,-0.105,361,-8.22,324,103.6,332,111.8,269,-1.65,231
340,UTSA,,Amer,5-25,5,25,-18.65,99.6,326,118.3,333,68.6,114,-0.001,190,1.44,121,109.8,127,108.4,140,1.73,132
341,Jackson St.,,SWAC,12-21,12,21,-18.83,100.0,324,118.8,339,69.5,72,0.101,14,-6.25,289,104.9,305,111.2,236,13.72,7
342,North Alabama,,ASun,9-21,9,21,-19.26,99.5,329,118.8,338,64.8,312,0.057,51,-4.74,260,108.7,183,113.4,341,1.87,128
343,Canisius,,MAAC,10-21,10,21,-19.27,95.2,355,114.5,285,64.2,336,0.019,131,-7.91,316,104.2,313,112.2,287,-3.42,278
344,Chicago St.,,NEC,7-25,7,25,-19.61,99.4,333,119.0,340,65.3,293,-0.032,274,-4.6,259,105.6,296,110.2,201,10.63,17
345,Air Force,,MWC,3-29,3,29,-19.94,95.6,352,115.6,301,66.3,241,0.0,187,5.1,90,112.1,87,107.0,97,-4.85,299
346,Alcorn St.,,SWAC,9-23,9,23,-20.15,96.3,349,116.5,312,67.3,185,0.039,89,-5.13,267,105.6,294,110.7,218,13.51,8
347,The Citadel,,SC,11-22,11,22,-20.29,100.6,318,120.9,352,64.4,330,0.028,115,-5.68,277,107.9,239,113.5,343,-1.93,238
348,Maine,,AE,8-24,8,24,-20.42,91.5,363,111.9,235,64.7,316,-0.031,269,-9.27,343,103.8,328,113.1,325,-1.45,226
349,Maryland Eastern Shore,,MEAC,9-23,9,23,-20.8,94.6,358,115.4,300,63.1,356,-0.052,309,-9.2,340,103.6,331,112.8,314,5.04,71
350,New Hampshire,,AE,9-21,9,21,-20.83,95.1,357,116.0,307,67.5,178,-0.002,194,-8.19,322,104.2,315,112.4,295,5.13,70
351,Louisiana Monroe,,SB,4-28,4,28,-21.04,101.2,311,122.2,360,70.1,39,-0.099,359,-3.7,240,106.6,279,110.3,205,-1.33,223
352,North Carolina Central,,MEAC,14-18,14,18,-21.07,100.0,323,121.1,354,65.8,271,0.071,30,-10.25,351,102.1,359,112.3,294,9.3,21
353,Morgan St.,,MEAC,14-16,14,16,-21.74,99.4,334,121.1,353,70.7,24,0.103,13,-12.72,363,100.5,365,113.2,332,-1.56,229
354,Saint Francis,,NEC,7-24,7,24,-22.28,99.5,331,121.8,357,70.0,45,-0.025,251,-6.81,297,104.9,303,111.7,265,7.37,41
355,Bryant,,AE,9-22,9,22,-23.11,96.5,347,119.6,346,64.2,335,0.009,161,-8.05,320,103.4,337,111.5,251,2.41,116
356,South Carolina St.,,MEAC,10-22,10,22,-23.49,95.2,356,118.7,336,68.7,109,0.033,100,-8.82,334,103.9,324,112.7,309,3.29,100
357,Rider,,MAAC,4-25,4,25,-24.46,95.7,351,120.1,349,65.8,267,-0.024,248,-5.02,266,105.6,297,110.6,212,11.13,14
358,Kansas City,,Sum,4-27,4,27,-25.08,92.0,361,117.1,318,69.8,55,-0.017,231,-1.58,193,110.0,120,111.6,261,5.96,54
359,Binghamton,,AE,8-23,8,23,-25.58,97.5,343,123.1,361,65.3,294,-0.019,237,-12.36,362,101.6,361,114.0,351,-8.25,348
360,VMI,,SC,6-26,6,26,-26.28,98.6,338,124.9,364,66.8,217,-0.011,212,-5.72,279,108.3,208,114.0,352,-2.05,243
361,Gardner Webb,,BSth,4-29,4,29,-26.41,95.6,353,122.0,358,69.2,80,-0.001,192,-1.25,186,108.6,191,109.8,185,5.32,64
362,Delaware St.,,MEAC,8-23,8,23,-27.22,87.1,365,114.3,282,65.3,291,-0.013,221,-11.61,359,102.4,356,114.0,349,1.85,129
363,Coppin St.,,MEAC,7-24,7,24,-27.52,92.1,360,119.6,344,68.0,136,0.037,93,-7.51,309,104.4,311,111.9,270,3.45,96
364,Western Illinois,,OVC,5-26,5,26,-28.46,92.9,359,121.3,355,66.6,226,-0.052,310,-7.66,314,103.5,335,111.2,237,-1.66,232
365,Mississippi Valley St.,,SWAC,3-30,3,30,-31.32,90.3,364,121.7,356,67.0,199,-0.026,253,-7.1,303,104.9,304,112.0,282,5.75,56
